# lemma(infinitive)	V;IND;PRS;1;SG	V;IND;PRS;2;SG	V;IND;PRS;3;SG	V;IND;PRS;1;PL	V;IND;PRS;2;PL	V;IND;PRS;3;PL	V;IND;PST;1;SG;IPFV	V;IND;PST;2;SG;IPFV	V;IND;PST;3;SG;IPFV	V;IND;PST;1;PL;IPFV	V;IND;PST;2;PL;IPFV	V;IND;PST;3;PL;IPFV	V;IND;PST;1;SG;PFV	V;IND;PST;2;SG;PFV	V;IND;PST;3;SG;PFV	V;IND;PST;1;PL;PFV	V;IND;PST;2;PL;PFV	V;IND;PST;3;PL;PFV	V;1;SG;IND;FUT	V;2;SG;IND;FUT	V;3;SG;IND;FUT	V;1;PL;IND;FUT	V;2;PL;IND;FUT	V;3;PL;IND;FUT	V;1;SG;COND	V;2;SG;COND	V;3;SG;COND	V;1;PL;COND	V;2;PL;COND	V;3;PL;COND	V;1;SG;SBJV;PRS	V;2;SG;SBJV;PRS	V;3;SG;SBJV;PRS	V;1;PL;SBJV;PRS	V;2;PL;SBJV;PRS	V;3;PL;SBJV;PRS	V;1;SG;SBJV;PST;IPFV	V;2;SG;SBJV;PST;IPFV	V;3;SG;SBJV;PST;IPFV	V;1;PL;SBJV;PST;IPFV	V;2;PL;SBJV;PST;IPFV	V;3;PL;SBJV;PST;IPFV	V;2;SG;IMP	V;1;PL;IMP	V;2;PL;IMP	V;NFIN	V.PTCP;PST	V.CVB;PRS  ("-" = productive default)
abadalhar	abadalhe	-	-	-	-	-	abadalhava	-	-	abadalhaviam	abadalhaviatz	-	abadalhei	abadalheras	abadalhet	abadalhem	abadalheriatz	abadalheran	-	-	-	abadalharam	abadalharatz	-	abadalhariá	abadalhariàs	-	abadalharem	abadalharetz	-	-	-	-	abadalhassiam	abadalhassiatz	abadalhan	abadalhesse	-	abadalhesse	abadalhessiam	abadalhessiatz	abadalhesson	-	abadalhassiam	-	-	-	-
abarbar	abarbe	-	-	-	-	-	abarbava	-	-	abarbaviam	abarbaviatz	-	abarbei	abarberas	abarbet	abarbem	abarberiatz	abarberan	-	-	-	abarbaram	abarbaratz	-	abarbariá	abarbariàs	-	abarbarem	abarbaretz	-	-	-	-	abarbassiam	abarbassiatz	abarban	abarbesse	-	abarbesse	abarbessiam	abarbessiatz	abarbesson	-	abarbassiam	-	-	-	-
abarrejar	-	abarreges	-	-	-	-	abarrejava	-	-	abarrejaviam	abarrejaviatz	-	-	-	-	-	-	-	-	-	-	abarrejaram	abarrejaratz	-	abarrejariá	abarrejariàs	-	abarrejarem	abarrejaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
abasar	abase	-	-	-	-	-	abasava	-	-	abasaviam	abasaviatz	-	abasei	abaseras	abaset	abasem	abaseriatz	abaseran	-	-	-	abasaram	abasaratz	-	abasariá	abasariàs	-	abasarem	abasaretz	-	-	-	-	abasassiam	abasassiatz	abasan	abasesse	-	abasesse	abasessiam	abasessiatz	abasesson	-	abasassiam	-	-	-	-
abaucar	-	-	-	-	-	-	abaucava	-	-	abaucaviam	abaucaviatz	-	-	-	-	-	-	-	-	-	-	abaucaram	abaucaratz	-	abaucariá	abaucariàs	-	abaucarem	abaucaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
abdicar	-	-	-	-	-	-	abdicava	-	-	abdicaviam	abdicaviatz	-	-	-	-	-	-	-	-	-	-	abdicaram	abdicaratz	-	abdicariá	abdicariàs	-	abdicarem	abdicaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
abecar	abece	-	-	-	-	-	abecava	-	-	abecaviam	abecaviatz	-	abecei	abeceras	abecet	abecem	abeceriatz	abeceran	-	-	-	abecaram	abecaratz	-	abecariá	abecariàs	-	abecarem	abecaretz	-	-	-	-	abecassiam	abecassiatz	abecan	abecesse	-	abecesse	abecessiam	abecessiatz	abecesson	-	abecassiam	-	-	-	-
abelar	abele	-	-	-	-	-	abelava	-	-	abelaviam	abelaviatz	-	abelei	abeleras	abelet	abelem	abeleriatz	abeleran	-	-	-	abelaram	abelaratz	-	abelariá	abelariàs	-	abelarem	abelaretz	-	-	-	-	abelassiam	abelassiatz	abelan	abelesse	-	abelesse	abelessiam	abelessiatz	abelesson	-	abelassiam	-	-	-	-
abenar	abene	-	-	-	-	-	abenava	-	-	abenaviam	abenaviatz	-	abenei	abeneras	abenet	abenem	abeneriatz	abeneran	-	-	-	abenaram	abenaratz	-	abenariá	abenariàs	-	abenarem	abenaretz	-	-	-	-	abenassiam	abenassiatz	abenan	abenesse	-	abenesse	abenessiam	abenessiatz	abenesson	-	abenassiam	-	-	-	-
abeurar	abeure	-	-	-	-	-	abeurava	-	-	abeuraviam	abeuraviatz	-	abeurei	abeureras	abeuret	abeurem	abeureriatz	abeureran	-	-	-	abeuraram	abeuraratz	-	abeurariá	abeurariàs	-	abeurarem	abeuraretz	-	-	-	-	abeurassiam	abeurassiatz	abeuran	abeuresse	-	abeuresse	abeuressiam	abeuressiatz	abeuresson	-	abeurassiam	-	-	-	-
abocar	-	-	-	-	-	-	abocava	-	-	abocaviam	abocaviatz	-	-	-	-	-	-	-	-	-	-	abocaram	abocaratz	-	abocariá	abocariàs	-	abocarem	abocaretz	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
abrandar	abrande	-	-	-	-	-	abrandava	-	-	abrandaviam	abrandaviatz	-	abrandei	abranderas	abrandet	abrandem	abranderiatz	abranderan	-	-	-	abrandaram	abrandaratz	-	abrandariá	abrandariàs	-	abrandarem	abrandaretz	-	-	-	-	abrandassiam	abrandassiatz	abrandan	abrandesse	-	abrandesse	abrandessiam	abrandessiatz	abrandesson	-	abrandassiam	-	-	-	-
