# lemma	prs-base	pst-base	fut-base	vn	ptcp	imp2sg	imp2pl	prs-auto ("-" = derive)
abair	deir	dúirt	déarfaidh	rá	ráite	-	abraigí	deirtear
achainigh	-	-	achaineoidh	achainí	-	-	-	-
achair	achrann	achair	acharfaidh	achairt	achartha	-	achraigí	achairtear
achoimrigh	-	-	achoimreoidh	-	-	-	-	-
achomharc	-	-	-	achomharc	achomharctha	-	-	-
achtaigh	-	-	achtóidh	-	-	-	-	-
achtáil	achtálann	achtáil	achtálfaidh	achtáil	achtáilte	-	achtálaigí	achtáiltear
aclaigh	-	-	aclóidh	-	-	-	-	-
adamhaigh	-	-	adamhóidh	-	-	-	-	-
adhain	adhnann	adhain	adhanfaidh	adhaint	adhainte	-	adhnaigí	-
adhair	adhrann	adhair	-	adhradh	adhartha	-	adhraigí	-
adhaltranaigh	-	-	adhaltranóidh	-	-	-	-	-
adharcáil	adharcálann	adharcáil	adharcálfaidh	adharcáil	adharcáilte	-	adharcálaigí	adharcáiltear
adhfhuathaigh	-	-	adhfhuathóidh	-	-	-	-	-
adhlaic	adhlacann	adhlaic	adhlacfaidh	adhlacadh	adhlactha	-	adhlacaigí	adhlactar
adhmhill	-	-	adhmhillfidh	-	-	-	-	-
adhnáirigh	-	-	adhnáireoidh	-	-	-	-	-
admhaigh	-	-	admhóidh	admháil	-	-	-	-
aducht	-	-	-	-	aduchta	-	-	aduchtar
aeraigh	-	-	aeróidh	-	-	-	-	-
aeriompair	aeriompraíonn	aeriompair	aeriompróidh	aeriompar	aeriompartha	-	aeriompraígí	aeriompraítear
aeroiriúnaigh	-	-	aeroiriúnóidh	-	-	-	-	-
aeráil	aerálann	aeráil	aerálfaidh	aeráil	aeráilte	-	aerálaigí	aeráiltear
agaigh	-	-	agóidh	-	-	-	-	-
agaill	agallann	agaill	agallfaidh	agallamh	-	-	agallaigí	agalltar
agair	agraíonn	agair	agróidh	agairt	agartha	-	agraígí	agraítear
aghloit	-	-	aghloitfidh	aghlot	aghloite	-	-	aghloitear
agóid	-	-	agóidfidh	agóid	-	-	-	-
aibhligh	-	-	aibhleoidh	-	-	-	-	-
aibhsigh	-	-	aibhseoidh	-	-	-	-	-
aibigh	-	-	aibeoidh	-	-	-	-	-
aiceannaigh	-	-	aiceannóidh	-	aiceanta	-	-	-
aicleáil	aicleálann	aicleáil	aicleálfaidh	haicleáil	haicleáilte	-	aicleálaigí	aicleáiltear
aicmigh	-	-	aicmeoidh	-	-	-	-	-
aifir	aifríonn	aifir	aifreoidh	aifirt	aifeartha	-	aifrígí	aifrítear
aighnigh	-	-	aighneoidh	-	-	-	-	-
aigleáil	aigleálann	aigleáil	aigleálfaidh	haigleáil	haigleáilte	-	aigleálaigí	aigleáiltear
aigéadaigh	-	-	aigéadóidh	-	-	-	-	-
ailléidigh	-	-	ailléideoidh	-	-	-	-	-
ailsigh	-	-	ailseoidh	-	-	-	-	-
ailtéarnaigh	-	-	ailtéarnóidh	-	-	-	-	-
ailínigh	-	-	ailíneoidh	-	-	-	-	-
aimpligh	-	-	aimpleoidh	-	-	-	-	-
aimridigh	-	-	aimrideoidh	-	-	-	-	-
aimsigh	-	-	aimseoidh	-	-	-	-	-
ainic	-	-	ainicfidh	anacal	ainicthe	-	-	-
ainimhigh	-	-	ainimheoidh	-	-	-	-	-
ainligh	-	-	ainleoidh	-	-	-	-	-
ainmnigh	-	-	ainmneoidh	-	-	-	-	-
air	-	-	airfidh	ar	airthe	-	-	-
aireachasaigh	-	-	aireachasóidh	-	-	-	-	-
airg	-	-	airgfidh	-	airgthe	-	-	-
airgeadaigh	-	-	airgeadóidh	-	-	-	-	-
airigh	-	-	aireoidh	aireachtáil	-	-	-	-
aisbhreathnaigh	-	-	aisbhreathnóidh	-	-	-	-	-
aisc	-	-	aiscfidh	-	aiscthe	-	-	-
aischiceáil	aischiceálann	aischiceáil	aischiceálfaidh	aischiceáil	aischiceáilte	-	aischiceálaigí	aischiceáiltear
aischuir	-	-	aischuirfidh	aischur	aischurtha	-	-	-
aischéimnigh	-	-	aischéimneoidh	-	-	-	-	-
aisfhreagair	aisfhreagraíonn	aisfhreagair	aisfhreagróidh	aisfhreagairt	aisfhreagartha	-	aisfhreagraígí	aisfhreagraítear
aisfhuaimnigh	-	-	aisfhuaimneoidh	-	-	-	-	-
aisghabh	-	-	-	aisghabháil	aisghafa	-	-	-
aisghair	-	-	aisghairfidh	aisghairm	aisghairthe	-	-	-
aisghníomhaigh	-	-	aisghníomhóidh	-	-	-	-	-
aisig	aiseagann	aisig	aiseagfaidh	aiseag	aiseagtha	-	aiseagaigí	aiseagtar
aisiompaigh	-	-	aisiompóidh	-	-	-	-	-
aisling	aislingíonn	aisling	aislingeoidh	aisling	aislingthe	-	-	-
aisléasaigh	-	-	aisléasóidh	-	-	-	-	-
aisléim	-	-	aisléimfidh	aisléim	aisléimthe	-	-	-
aisphreab	-	-	-	-	aisphreabtha	-	-	-
aistarraing	aistarraingíonn	aistarraing	aistarraingeoidh	aistarraingt	aistarraingthe	-	aistarraingígí	aistarraingítear
aistrigh	-	-	aistreoidh	-	-	-	-	-
aiséirigh	-	-	aiséireoidh	aiséirí	-	-	-	-
aisíoc	-	-	-	aisíoc	aisíoctha	-	-	-
aitheasc	-	-	-	aitheasc	aitheasctha	-	-	-
aithin	aithníonn	aithin	aithneoidh	aithint	aitheanta	-	aithnígí	aithnítear
aithisigh	-	-	aithiseoidh	-	-	-	-	-
aithris	aithrisíonn	aithris	aithriseoidh	aithris	aithriste	-	aithrisígí	aithrisítear
allasaigh	-	-	allasóidh	-	-	-	-	-
allmhairigh	-	-	allmhaireoidh	-	-	-	-	-
alp	-	-	-	-	alptha	-	-	-
alt	-	-	-	-	alta	-	-	altar
altaigh	-	-	altóidh	-	-	-	-	-
altramaigh	-	-	altramóidh	-	-	-	-	-
amasaigh	-	-	amasóidh	-	-	-	-	-
amharc	-	-	-	amharc	amharctha	-	-	-
amharcléigh	amharcléann	-	amharcléifidh	amharcléamh	-	-	-	-
amhastraigh	-	-	amhastróidh	amhastrach	-	-	-	-
amplaigh	-	-	amplóidh	-	-	-	-	-
anailísigh	-	-	anailíseoidh	-	-	-	-	-
anbhainnigh	-	-	anbhainneoidh	-	-	-	-	-
anluchtaigh	-	-	anluchtóidh	-	-	-	-	-
annáil	annálann	annáil	annálfaidh	annáladh	annálta	-	annálaigí	annáltar
ansmachtaigh	-	-	ansmachtóidh	-	-	-	-	-
análaigh	-	-	análóidh	-	-	-	-	-
anóidigh	-	-	anóideoidh	-	-	-	-	-
anótáil	anótálann	anótáil	anótálfaidh	anótáil	anótáilte	-	anótálaigí	anótáiltear
aoirigh	-	-	aoireoidh	aoireacht	-	-	-	-
aoldathaigh	-	-	aoldathóidh	-	aoldaite	-	-	-
aom	-	-	-	-	aomtha	-	-	-
aonraigh	-	-	aonróidh	-	-	-	-	-
aontaigh	-	-	aontóidh	-	-	-	-	-
aor	-	-	-	-	aortha	-	-	-
aosaigh	-	-	aosóidh	-	-	-	-	-
aothaigh	-	-	aothóidh	-	-	-	-	-
apáil	apálann	apáil	apálfaidh	hapáil	hapáilte	-	apálaigí	apáiltear
ardaigh	-	-	ardóidh	-	-	-	-	-
arg	-	-	-	argain	argtha	-	-	-
argóin	argónann	argóin	argónfaidh	argóint	argóinte	-	argónaigí	-
armáil	armálann	armáil	armálfaidh	armáil	armáilte	-	armálaigí	armáiltear
armónaigh	-	-	armónóidh	-	-	-	-	-
asanálaigh	-	-	asanálóidh	-	-	-	-	-
asbhain	-	-	asbhainfidh	asbhaint	-	-	-	-
asbheir	-	-	asbheirfidh	asbheirt	asbheirthe	-	-	-
ascain	ascnaíonn	ascain	ascnóidh	ascnamh	ascanta	-	ascnaígí	ascnaítear
aschuir	-	-	aschuirfidh	aschur	aschurtha	-	-	-
aslaigh	-	-	-	aslach	-	-	-	-
astaigh	-	-	astóidh	-	-	-	-	-
asáitigh	-	-	asáiteoidh	-	-	-	-	-
asúigh	asúnn	asúigh	asúfaidh	asú	asúite	-	asúigí	asúitear
ataispeáin	ataispeánann	ataispeáin	ataispeánfaidh	ataispeáint	ataispeánta	-	ataispeánaigí	ataispeántar
atarraing	atarraingíonn	atarraing	atarraingeoidh	atarraingt	atarraingthe	-	atarraingígí	atarraingítear
ateilg	-	-	ateilgfidh	ateilgean	ateilgthe	-	-	-
athachtaigh	-	-	athachtóidh	-	-	-	-	-
athadhain	athadhnann	athadhain	athadhanfaidh	athadhaint	athadhainte	-	athadhnaigí	-
athadhlaic	athadhlacann	athadhlaic	athadhlacfaidh	athadhlacadh	athadhlactha	-	athadhlacaigí	athadhlactar
athaimsigh	-	-	athaimseoidh	-	-	-	-	-
athainmnigh	-	-	athainmneoidh	-	-	-	-	-
athallmhairigh	-	-	athallmhaireoidh	-	-	-	-	-
atharmáil	atharmálann	atharmáil	atharmálfaidh	atharmáil	atharmáilte	-	atharmálaigí	atharmáiltear
athbhaist	-	-	athbhaistfidh	-	athbhaiste	-	-	athbhaistear
athbheoigh	athbheonn	athbheoigh	athbheofaidh	athbheochan	athbheoite	-	athbheoigí	athbheoitear
athbhreithnigh	-	-	athbhreithneoidh	-	-	-	-	-
athbhris	-	-	athbhrisfidh	-	-	-	-	-
athbhuail	-	-	athbhuailfidh	athbhualadh	-	-	-	-
athcheangail	athcheanglaíonn	athcheangail	athcheanglóidh	athcheangal	athcheangailte	-	athcheanglaígí	athcheanglaítear
athcheannaigh	-	-	-	athcheannach	-	-	-	-
athcheap	-	-	-	-	athcheaptha	-	-	-
athchlóigh	athchlónn	athchlóigh	athchlófaidh	athchló	athchlóite	-	athchlóigí	athchlóitear
athchlúdaigh	-	-	-	athchlúdach	-	-	-	-
athchnag	-	-	-	-	athchnagtha	-	-	-
athchnuchair	athchnuchraíonn	athchnuchair	athchnuchróidh	athchnuchairt	athchnuchartha	-	athchnuchraígí	athchnuchraítear
athchogain	athchognaíonn	athchogain	athchognóidh	athchogaint	athchoganta	-	athchognaígí	athchognaítear
athchomhair	-	-	athchomhairfidh	athchomhaireamh	athchomhairthe	-	-	-
athchruaigh	athchruann	athchruaigh	athchruafaidh	athchruachan	athchruaite	-	athchruaigí	athchruaitear
athchrúigh	athchrúnn	athchrúigh	athchrúfaidh	athchrú	athchrúite	-	athchrúigí	athchrúitear
athchuir	-	-	athchuirfidh	athchur	athchurtha	-	-	-
athchum	-	-	-	-	athchumtha	-	-	-
athchuntais	-	-	athchuntaisfidh	athchuntas	-	-	-	-
athchóipeáil	athchóipeálann	athchóipeáil	athchóipeálfaidh	athchóipeáil	athchóipeáilte	-	athchóipeálaigí	athchóipeáiltear
athchúrsáil	athchúrsálann	athchúrsáil	athchúrsálfaidh	athchúrsáil	athchúrsáilte	-	athchúrsálaigí	athchúrsáiltear
athdhathaigh	-	-	-	-	athdhaite	-	-	-
athdhear	-	-	-	-	athdheartha	-	-	-
athdháil	-	-	athdháilfidh	-	-	-	-	-
athdhéan	-	-	-	athdhéanamh	-	-	-	-
athdhíol	-	-	-	athdhíol	-	-	-	-
athdhúisigh	-	-	-	athdhúiseacht	-	-	-	-
atheagraigh	-	-	atheagróidh	-	-	-	-	-
atheisigh	-	-	-	atheisiúint	-	-	-	-
athfhaghair	athfhaghraíonn	athfhaghair	athfhaghróidh	athfhaghairt	athfhaghartha	-	athfhaghraígí	athfhaghraítear
athfhill	-	-	athfhillfidh	-	-	-	-	-
athfhorbair	athfhorbraíonn	athfhorbair	athfhorbróidh	athfhorbairt	athfhorbartha	-	athfhorbraígí	athfhorbraítear
athghabh	-	-	-	athghabháil	athghafa	-	-	-
athghair	-	-	athghairfidh	athghairm	athghairthe	-	-	-
athghin	-	-	athghinfidh	athghiniúint	-	-	-	-
athghlaoigh	athghlaonn	athghlaoigh	athghlaofaidh	athghlaoch	athghlaoite	-	athghlaoigí	athghlaoitear
athghoin	-	-	athghoinfidh	athghoin	athghonta	-	-	-
athghor	-	-	-	-	athghortha	-	-	-
athghróig	-	-	athghróigfidh	-	athghróigthe	-	-	-
athghrúpáil	athghrúpálann	athghrúpáil	athghrúpálfaidh	athghrúpáil	athghrúpáilte	-	athghrúpálaigí	athghrúpáiltear
athghéill	-	-	athghéillfidh	-	-	-	-	-
athimir	athimríonn	athimir	athimreoidh	athimirt	athimeartha	-	athimrígí	athimrítear
athinis	athinsíonn	athinis	athinseoidh	athinsint	athinste	-	athinsígí	athinsítear
athiontráil	athiontrálann	athiontráil	athiontrálfaidh	athiontráil	athiontráilte	-	athiontrálaigí	athiontráiltear
athleag	-	-	-	athleagan	athleagtha	-	-	-
athleáigh	athleánn	athleáigh	athleáfaidh	athleá	athleáite	-	athleáigí	athleáitear
athliostáil	athliostálann	athliostáil	athliostálfaidh	athliostáil	athliostáilte	-	athliostálaigí	athliostáiltear
athluacháil	athluachálann	athluacháil	athluachálfaidh	athluacháil	athluacháilte	-	athluachálaigí	athluacháiltear
athluaigh	athluann	athluaigh	athluafaidh	athlua	athluaite	-	athluaigí	athluaitear
athléigh	athléann	-	athléifidh	athléamh	-	-	-	-
athlíneáil	athlíneálann	athlíneáil	athlíneálfaidh	athlíneáil	athlíneáilte	-	athlíneálaigí	athlíneáiltear
athlódáil	athlódálann	athlódáil	athlódálfaidh	athlódáil	athlódáilte	-	athlódálaigí	athlódáiltear
athmhachnaigh	-	-	-	athmhachnamh	-	-	-	-
athmheasc	-	-	-	-	athmheasctha	-	-	-
athmháistrigh	-	-	-	athmháistreacht	-	-	-	-
athmhúscail	athmhúsclaíonn	athmhúscail	athmhúsclóidh	-	-	-	athmhúsclaígí	athmhúsclaítear
athnasc	-	-	-	-	athnasctha	-	-	-
athneartaigh	-	-	athneartóidh	-	-	-	-	-
athnuaigh	athnuann	athnuaigh	athnuafaidh	athnuachan	athnuaite	-	athnuaigí	athnuaitear
athoil	-	-	athoilfidh	athoiliúint	-	-	-	-
athonnmhairigh	-	-	athonnmhaireoidh	-	-	-	-	-
athordaigh	-	-	athordóidh	-	-	-	-	-
athoscail	athosclaíonn	athoscail	athosclóidh	athoscailt	athoscailte	-	athosclaígí	athosclaítear
athphlandáil	athphlandálann	athphlandáil	athphlandálfaidh	athphlandáil	athphlandáilte	-	athphlandálaigí	athphlandáiltear
athphléigh	athphléann	-	athphléifidh	athphlé	-	-	-	-
athphreab	-	-	-	-	athphreabtha	-	-	-
athphriontáil	athphriontálann	athphriontáil	athphriontálfaidh	athphriontáil	athphriontáilte	-	athphriontálaigí	athphriontáiltear
athphróiseáil	athphróiseálann	athphróiseáil	athphróiseálfaidh	athphróiseáil	athphróiseáilte	-	athphróiseálaigí	athphróiseáiltear
athphéinteáil	athphéinteálann	athphéinteáil	athphéinteálfaidh	athphéinteáil	athphéinteáilte	-	athphéinteálaigí	athphéinteáiltear
athraigh	-	-	athróidh	-	-	-	-	-
athreoigh	athreonn	athreoigh	athreofaidh	athreo	athreoite	-	athreoigí	athreoitear
athriar	-	-	-	athriar	athriartha	-	-	-
athroinn	-	-	athroinnfidh	athroinnt	-	-	-	-
athrígh	athríonn	athrígh	athrífidh	athrí	athríthe	-	athrígí	athrítear
athrómhair	athrómhraíonn	athrómhair	athrómhróidh	athrómhar	athrómhartha	-	athrómhraígí	athrómhraítear
athscag	-	-	-	-	athscagtha	-	-	-
athscinn	-	-	athscinnfidh	-	-	-	-	-
athscríobh	-	-	-	athscríobh	athscríofa	-	-	-
athsheachaid	athsheachadann	athsheachaid	athsheachadfaidh	athsheachadadh	athsheachadta	-	athsheachadaigí	athsheachadtar
athsheinn	-	-	athsheinnfidh	athsheinm	-	-	-	-
athshnaidhm	-	-	athshnaidhmfidh	-	athshnaidhmthe	-	-	-
athsholáthraigh	-	-	-	athsholáthar	-	-	-	-
athshuaith	-	-	athshuaithfidh	-	athshuaite	-	-	athshuaitear
athshuigh	-	-	athshuífidh	athshuí	athshuite	-	-	athshuitear
athshúigh	athshúnn	athshúigh	athshúfaidh	athshú	athshúite	-	athshúigí	athshúitear
athsmaoinigh	-	-	-	athsmaoineamh	-	-	-	-
athspreag	-	-	-	-	athspreagtha	-	-	-
athspréigh	athspréann	-	athspréifidh	athspré	-	-	-	-
athéirigh	-	-	-	athéirí	-	-	-	-
athéist	-	-	athéistfidh	athéisteacht	athéiste	-	-	athéistear
athúsáid	-	-	athúsáidfidh	athúsáid	-	-	-	-
ationóil	ationólann	ationóil	ationólfaidh	ationól	ationólta	-	ationólaigí	ationóltar
atit	-	-	atitfidh	atitim	atite	-	-	atitear
atogh	-	-	-	-	atofa	-	-	-
atraenáil	atraenálann	atraenáil	atraenálfaidh	atraenáil	atraenáilte	-	atraenálaigí	atraenáiltear
atreabh	-	-	-	-	atreafa	-	-	-
atriail	-	-	atriailfidh	atriail	-	-	-	-
atrácht	-	-	-	-	atráchta	-	-	atráchtar
atvuíteáil	atvuíteálann	atvuíteáil	atvuíteálfaidh	atvuíteáil	atvuíteáilte	-	atvuíteálaigí	atvuíteáiltear
atáirg	-	-	atáirgfidh	-	atáirgthe	-	-	-
atáthaigh	-	-	atáthóidh	-	atáite	-	-	-
atéigh	atéann	-	atéifidh	atéamh	-	-	-	-
atíolaic	atíolacann	atíolaic	atíolacfaidh	atíolacadh	atíolactha	-	atíolacaigí	atíolactar
atóg	-	-	-	atógáil	atógtha	-	-	-
babhláil	babhlálann	babhláil	babhlálfaidh	babhláil	babhláilte	-	babhlálaigí	babhláiltear
babhtáil	babhtálann	babhtáil	babhtálfaidh	babhtáil	babhtáilte	-	babhtálaigí	babhtáiltear
bac	-	-	-	-	bactha	-	-	-
bacaigh	-	-	bacóidh	-	-	-	-	-
bachlaigh	-	-	bachlóidh	-	-	-	-	-
bacsáil	bacsálann	bacsáil	bacsálfaidh	bacsáil	bacsáilte	-	bacsálaigí	bacsáiltear
badráil	badrálann	badráil	badrálfaidh	badráil	badráilte	-	badrálaigí	badráiltear
bagair	bagraíonn	bagair	bagróidh	bagairt	-	-	bagraígí	bagraítear
baghcatáil	baghcatálann	baghcatáil	baghcatálfaidh	baghcatáil	baghcatáilte	-	baghcatálaigí	baghcatáiltear
baiceáil	baiceálann	baiceáil	baiceálfaidh	baiceáil	baiceáilte	-	baiceálaigí	baiceáiltear
baig	-	-	baigfidh	-	baigthe	-	-	-
bailc	balcann	bailc	balcfaidh	balcadh	balctha	-	balcaigí	balctar
bailigh	-	-	baileoidh	-	-	-	-	-
bailíochtaigh	-	-	bailíochtóidh	-	-	-	-	-
bain	-	-	bainfidh	baint	-	-	-	-
bainistigh	-	-	bainisteoidh	-	-	-	-	-
baist	-	-	baistfidh	-	baiste	-	-	baistear
balbhaigh	-	-	balbhóidh	-	-	-	-	-
ballbhasc	-	-	-	-	ballbhasctha	-	-	-
ballbhrúigh	ballbhrúnn	ballbhrúigh	ballbhrúfaidh	ballbhrú	ballbhrúite	-	ballbhrúigí	ballbhrúitear
balsamaigh	-	-	balsamóidh	-	-	-	-	-
bancáil	bancálann	bancáil	bancálfaidh	bancáil	bancáilte	-	bancálaigí	bancáiltear
baoiteáil	baoiteálann	baoiteáil	baoiteálfaidh	baoiteáil	baoiteáilte	-	baoiteálaigí	baoiteáiltear
barr	-	-	-	-	barrtha	-	-	-
barrdhóigh	barrdhónn	barrdhóigh	barrdhófaidh	barrdhó	barrdhóite	-	barrdhóigí	barrdhóitear
barrloisc	-	-	barrloiscfidh	barrloscadh	barrloiscthe	-	-	-
barrscoith	-	-	barrscoithfidh	-	barrscoite	-	-	barrscoitear
barántaigh	-	-	barántóidh	-	-	-	-	-
barúil	barúlann	barúil	barúlfaidh	barúil	-	-	barúlaigí	-
basc	-	-	-	-	basctha	-	-	-
baslaigh	-	-	-	baslach	-	-	-	-
bataráil	batarálann	bataráil	batarálfaidh	bataráil	bataráilte	-	batarálaigí	bataráiltear
batráil	batrálann	batráil	batrálfaidh	batráil	batráilte	-	batrálaigí	batráiltear
batáil	batálann	batáil	batálfaidh	batáil	batáilte	-	batálaigí	batáiltear
beachtaigh	-	-	beachtóidh	-	-	-	-	-
beagaigh	-	-	beagóidh	-	-	-	-	-
bealaigh	-	-	bealóidh	-	-	-	-	-
beannaigh	-	-	beannóidh	-	-	-	-	-
bearr	-	-	-	-	bearrtha	-	-	-
beartaigh	-	-	beartóidh	-	-	-	-	-
beathaigh	-	-	beathóidh	-	-	-	-	-
beir	-	rug	béarfaidh	breith	beirthe	-	-	-
beirigh	-	-	beireoidh	-	-	-	-	-
beoghearr	-	-	-	-	beoghearrtha	-	-	-
beoghoin	-	-	beoghoinfidh	beoghoin	beoghonta	-	-	-
beoigh	beonn	beoigh	beofaidh	beochan	beoite	-	beoigí	beoitear
beáráil	beárálann	beáráil	beárálfaidh	beáráil	beáráilte	-	beárálaigí	beáráiltear
biathaigh	-	-	biathóidh	-	-	-	-	-
billeáil	billeálann	billeáil	billeálfaidh	billeáil	billeáilte	-	billeálaigí	billeáiltear
bior-róst	-	-	-	-	bior-rósta	-	-	bior-róstar
bisigh	-	-	biseoidh	-	-	-	-	-
bladair	bladraíonn	bladair	bladróidh	bladar	bladartha	-	bladraígí	bladraítear
bladhair	bladhraíonn	bladhair	bladhróidh	bladhradh	bladhartha	-	bladhraígí	bladhraítear
bladhm	-	-	-	-	bladhmtha	-	-	-
blagáil	blagálann	blagáil	blagálfaidh	blagáil	blagáilte	-	blagálaigí	blagáiltear
blais	-	-	blaisfidh	-	-	-	-	-
blaosc	-	-	-	-	blaosctha	-	-	-
blaoscrúisc	-	-	blaoscrúiscfidh	blaoscrúscadh	blaoscrúiscthe	-	-	-
bleaisteáil	bleaisteálann	bleaisteáil	bleaisteálfaidh	bleaisteáil	bleaisteáilte	-	bleaisteálaigí	bleaisteáiltear
bligh	-	-	blífidh	bleán	blite	-	-	blitear
blocáil	blocálann	blocáil	blocálfaidh	blocáil	blocáilte	-	blocálaigí	blocáiltear
blosc	-	-	-	-	blosctha	-	-	-
bobáil	bobálann	bobáil	bobálfaidh	bobáil	bobáilte	-	bobálaigí	bobáiltear
bocsáil	bocsálann	bocsáil	bocsálfaidh	bocsáil	bocsáilte	-	bocsálaigí	bocsáiltear
bocáil	bocálann	bocáil	bocálfaidh	bocáil	bocáilte	-	bocálaigí	bocáiltear
bodhair	bodhraíonn	bodhair	bodhróidh	bodhradh	bodhartha	-	bodhraígí	bodhraítear
bodhraigh	-	-	bodhróidh	-	-	-	-	-
bog	-	-	-	-	bogtha	-	-	-
bogh	-	-	-	-	boghtha	-	-	-
boilscigh	-	-	boilsceoidh	-	-	-	-	-
bolaigh	-	-	bolóidh	-	-	-	-	-
bolg	-	-	-	-	bolgtha	-	-	-
boltáil	boltálann	boltáil	boltálfaidh	boltáil	boltáilte	-	boltálaigí	boltáiltear
borbaigh	-	-	borbóidh	-	-	-	-	-
bordáil	bordálann	bordáil	bordálfaidh	bordáil	bordáilte	-	bordálaigí	bordáiltear
borr	-	-	-	-	borrtha	-	-	-
brabhsáil	brabhsálann	brabhsáil	brabhsálfaidh	brabhsáil	brabhsáilte	-	brabhsálaigí	-
bradaigh	-	-	bradóidh	-	-	-	-	-
braich	brachann	braich	brachfaidh	brachadh	brachta	-	brachaigí	brachtar
braigeáil	braigeálann	braigeáil	braigeálfaidh	braigeáil	braigeáilte	-	braigeálaigí	braigeáiltear
braith	-	-	braithfidh	brath	braite	-	-	braitear
brandáil	brandálann	brandáil	brandálfaidh	brandáil	brandáilte	-	brandálaigí	brandáiltear
breab	-	-	-	-	breabtha	-	-	-
breabhsaigh	-	-	breabhsóidh	-	-	-	-	-
breac	-	-	-	-	breactha	-	-	-
breathnaigh	-	-	breathnóidh	-	-	-	-	-
breisigh	-	-	breiseoidh	-	-	-	-	-
breithnigh	-	-	breithneoidh	-	-	-	-	-
breoigh	breonn	breoigh	breofaidh	breo	breoite	-	breoigí	breoitear
briog	-	-	-	-	briogtha	-	-	-
bris	-	-	brisfidh	-	-	-	-	-
broc	-	-	-	-	broctha	-	-	-
broic	-	-	broicfidh	broic	broicthe	-	-	-
broid	-	-	broidfidh	-	-	-	-	-
broim	bromann	broim	bromfaidh	bromadh	bromtha	-	bromaigí	bromtar
bruiseáil	bruiseálann	bruiseáil	bruiseálfaidh	bruiseáil	bruiseáilte	-	bruiseálaigí	bruiseáiltear
bruith	-	-	bruithfidh	bruith	bruite	-	-	bruitear
bruíon	-	-	-	bruíon	-	-	-	-
brácáil	brácálann	brácáil	brácálfaidh	brácáil	brácáilte	-	brácálaigí	brácáiltear
brásáil	brásálann	brásáil	brásálfaidh	brásáil	brásáilte	-	brásálaigí	brásáiltear
bréag	-	-	-	-	bréagtha	-	-	-
bréagnaigh	-	-	bréagnóidh	-	-	-	-	-
bréid	-	-	bréidfidh	-	-	-	-	-
bréitseáil	bréitseálann	bréitseáil	bréitseálfaidh	bréitseáil	bréitseáilte	-	bréitseálaigí	bréitseáiltear
bróidnigh	-	-	bróidneoidh	-	-	-	-	-
bróitseáil	bróitseálann	bróitseáil	bróitseálfaidh	bróitseáil	bróitseáilte	-	bróitseálaigí	bróitseáiltear
brúcht	-	-	-	-	brúchta	-	-	brúchtar
brúigh	brúnn	brúigh	brúfaidh	brú	brúite	-	brúigí	brúitear
brúisc	-	-	brúiscfidh	brúscadh	brúiscthe	-	-	-
buac	-	-	-	-	buactha	-	-	-
buaigh	buann	buaigh	buafaidh	buachan	buaite	-	buaigí	buaitear
buail	-	-	buailfidh	bualadh	-	-	-	-
buain	buanann	buain	buanfaidh	-	-	-	buanaigí	buantar
buair	-	-	buairfidh	buaireamh	buartha	-	-	-
buamáil	buamálann	buamáil	buamálfaidh	buamáil	buamáilte	-	buamálaigí	buamáiltear
bugáil	bugálann	bugáil	bugálfaidh	bugáil	bugáilte	-	bugálaigí	bugáiltear
bumáil	bumálann	bumáil	bumálfaidh	bumáil	bumáilte	-	bumálaigí	bumáiltear
bunaigh	-	-	bunóidh	-	-	-	-	-
burdáil	burdálann	burdáil	burdálfaidh	burdáil	burdáilte	-	burdálaigí	burdáiltear
burláil	burlálann	burláil	burlálfaidh	burláil	burláilte	-	burlálaigí	burláiltear
buígh	buíonn	buígh	buífidh	buíochan	buíte	-	buígí	buítear
bácáil	bácálann	bácáil	bácálfaidh	bácáil	bácáilte	-	bácálaigí	bácáiltear
báigh	bánn	báigh	báfaidh	bá	báite	-	báigí	báitear
báistigh	-	-	-	báisteach	-	-	-	-
bánaigh	-	-	bánóidh	-	-	-	-	-
básaigh	-	-	básóidh	-	-	-	-	-
béic	-	-	béicfidh	-	béicthe	-	-	-
bí	bíonn	bí	beidh	bheith	-	-	bígí	bítear
bíog	-	-	-	-	bíogtha	-	-	-
búcláil	búclálann	búcláil	búclálfaidh	búcláil	búcláilte	-	búclálaigí	búcláiltear
búir	-	-	búirfidh	-	búirthe	-	-	-
bútáil	bútálann	bútáil	bútálfaidh	bútáil	bútáilte	-	bútálaigí	bútáiltear
búáil	búálann	búáil	búálfaidh	búáil	búáilte	-	búálaigí	búáiltear
cabhair	cabhraíonn	cabhair	cabhróidh	cabhradh	cabhartha	-	cabhraígí	cabhraítear
cabhraigh	-	-	cabhróidh	-	-	-	-	-
cabáil	cabálann	cabáil	cabálfaidh	cabáil	cabáilte	-	cabálaigí	cabáiltear
cac	-	-	-	cac	cactha	-	-	-
cadhail	caidhlíonn	cadhail	caidhleoidh	caidhleadh	caidhilte	-	caidhlígí	caidhlítear
caibeáil	caibeálann	caibeáil	caibeálfaidh	caibeáil	caibeáilte	-	caibeálaigí	caibeáiltear
caidhpeáil	caidhpeálann	caidhpeáil	caidhpeálfaidh	caidhpeáil	caidhpeáilte	-	caidhpeálaigí	caidhpeáiltear
caidrigh	-	-	-	caidreamh	-	-	-	-
cailg	-	-	cailgfidh	-	cailgthe	-	-	-
caill	-	-	caillfidh	-	-	-	-	-
